Time,Source,Destination,Protocol,Length,Predicted_Protocol,Max_Probability
0.405955,106.51.42.27,192.168.0.125,TCP,54,TCP,0.9
0.609416,192.168.0.125,106.51.42.27,TCP,54,TCP,0.9
0.609787,192.168.0.125,106.51.42.27,TCP,54,TCP,0.9
0.627329,216.239.38.223,192.168.0.125,TCP,54,TCP,0.9
0.62743,192.168.0.125,216.239.38.223,TCP,54,TCP,0.9
2.145868,216.239.38.223,192.168.0.125,TCP,54,TCP,0.89
2.145958,192.168.0.125,216.239.38.223,TCP,54,TCP,0.89
3.3371,192.168.0.125,20.42.65.88,TCP,66,TCP,0.85
3.580418,20.42.65.88,192.168.0.125,TCP,66,TCP,0.85
3.580549,192.168.0.125,20.42.65.88,TCP,54,TCP,0.93
3.886429,192.168.0.125,20.42.65.88,TCP,54,TCP,0.93
4.194701,192.168.0.125,20.42.65.88,TCP,54,TCP,0.93
4.501416,20.42.65.88,192.168.0.125,TCP,54,TCP,0.93
4.501532,192.168.0.125,20.42.65.88,TCP,54,TCP,0.93
4.884348,192.168.0.125,20.189.173.8,TCP,55,TCP,0.93
4.975867,192.168.0.125,20.189.173.8,TCP,55,TCP,0.93
5.114133,20.189.173.8,192.168.0.125,TCP,66,TCP,0.85
5.187437,20.189.173.8,192.168.0.125,TCP,66,TCP,0.85
7.880246,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.880246,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.880246,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.880246,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.880246,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.880415,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.880521,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.880571,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.880592,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.880646,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.880723,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.885068,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.885119,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.886158,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.886158,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.886158,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.886299,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.886529,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.893319,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.893319,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.897641,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.89774,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
7.897769,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.897857,192.168.0.125,106.51.42.25,TCP,54,TCP,0.93
7.899799,106.51.42.25,192.168.0.125,TCP,54,TCP,0.93
8.379186,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.379278,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.379344,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.381176,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.397094,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.397203,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.397305,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.399057,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.424103,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.424235,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.424489,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.426387,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.427503,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.427585,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.427675,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.429635,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.441114,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.443709,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
8.443799,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.443913,192.168.0.125,106.51.42.27,TCP,54,TCP,0.93
8.446144,106.51.42.27,192.168.0.125,TCP,54,TCP,0.93
11.260368,106.51.42.40,192.168.0.125,TCP,54,TCP,0.97
11.260368,106.51.42.40,192.168.0.125,TCP,54,TCP,0.97
11.260537,192.168.0.125,106.51.42.40,TCP,54,TCP,0.97
11.260643,192.168.0.125,106.51.42.40,TCP,54,TCP,0.97
11.263911,106.51.42.40,192.168.0.125,TCP,54,TCP,0.97
13.002544,TPLink_50:fe:5d,Intel_de:8b:72,ARP,60,TCP,0.82
